Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),predicted_risk,pred_high_risk_prob,actual_risk_category
Industrial buyer,Healthcare,Decreasing,High,144586.81,Master’s Degree,5,1966,446,31.95,75.36,Brazil,20.78,2,0.7627960569458524,2
"Psychotherapist, child",Finance,Decreasing,Moderate,103582.16,PhD,2,2267,259,1.07,98.54,Australia,37.91,2,0.7624196429499436,2
Ranger/warden,Education,Decreasing,High,147287.25,Master’s Degree,12,2798,835,73.16,78.75,Canada,43.89,2,0.7624012919306676,2
Proofreader,Manufacturing,Increasing,Moderate,32464.76,Bachelor’s Degree,13,6158,7929,80.6,67.14,Germany,59.61,2,0.7616510010115319,2
Event organiser,Education,Decreasing,Moderate,112126.04,PhD,20,508,1555,57.06,88.1,Germany,43.15,2,0.7615541722154772,2
Osteopath,IT,Increasing,Moderate,36112.32,Associate Degree,10,5069,6184,97.68,61.36,USA,24.07,2,0.7613757203838749,2
"Research officer, political party",Finance,Decreasing,Moderate,145112.25,PhD,16,3289,5113,58.43,88.75,Brazil,75.0,2,0.7609324328083026,2
Public house manager,IT,Decreasing,High,109395.74,High School,12,5229,304,18.31,65.89,UK,37.24,2,0.7609116448542831,2
Maintenance engineer,Finance,Decreasing,High,110698.85,High School,18,542,230,89.72,61.19,Germany,34.55,2,0.760440894228918,2
Music therapist,IT,Increasing,Low,140773.78,PhD,19,8219,3409,78.05,95.72,Brazil,21.82,2,0.7603616279834218,2
Television/film/video producer,Education,Increasing,Moderate,40773.59,Bachelor’s Degree,15,7243,7088,51.66,83.83,Germany,22.22,2,0.7602591053933682,2
"Production designer, theatre/television/film",Education,Increasing,Low,114113.45,PhD,15,9568,1891,86.66,70.52,Australia,26.46,2,0.7601655714026816,2
"Scientist, product/process development",IT,Decreasing,Moderate,142358.6,Associate Degree,6,8690,3193,86.32,29.28,Australia,76.95,2,0.7601269684200749,0
Games developer,IT,Increasing,High,46258.92,PhD,18,6274,337,2.03,57.14,Australia,43.59,2,0.7598678953747845,1
"Social research officer, government",Finance,Increasing,High,148689.05,PhD,10,5265,213,51.16,64.8,UK,77.87,2,0.7595304975285861,2
Architect,Retail,Decreasing,High,148686.48,High School,13,7344,8308,26.3,68.49,Australia,37.42,2,0.7593671864985064,2
Mudlogger,IT,Increasing,High,145008.18,Bachelor’s Degree,14,1578,3559,59.08,96.67,Germany,45.61,2,0.7585039399309267,2
Planning and development surveyor,Healthcare,Increasing,High,126334.17,PhD,1,3449,6279,87.38,81.65,India,22.49,2,0.7584131624320547,2
Financial planner,Transportation,Increasing,Moderate,31750.09,PhD,8,4772,9310,61.74,97.96,Brazil,56.2,2,0.7584085499177853,2
Corporate treasurer,Transportation,Increasing,High,135193.63,PhD,18,8140,5558,71.97,95.25,UK,20.07,2,0.7583005936345484,2
"Engineer, manufacturing systems",Manufacturing,Increasing,High,31117.72,High School,15,7760,9942,61.64,89.45,Australia,25.76,2,0.7582013074245628,2
"Therapist, occupational",Healthcare,Decreasing,Low,123001.24,Associate Degree,7,9912,3933,98.02,75.52,China,22.2,2,0.7580415443681346,2
Operational investment banker,Finance,Decreasing,High,149611.14,Associate Degree,8,7529,7562,12.95,86.58,Brazil,78.29,2,0.7577282297764838,2
Sports administrator,IT,Increasing,High,48325.68,PhD,3,8782,4839,18.86,73.56,UK,79.67,2,0.7571931704711405,2
Legal executive,Education,Decreasing,High,111010.36,Master’s Degree,19,625,1228,84.34,82.46,Germany,39.88,2,0.7571911291676858,2
Retail manager,Entertainment,Decreasing,Moderate,143649.14,Associate Degree,11,3332,870,88.69,75.63,Canada,44.24,2,0.757143710843881,2
Consulting civil engineer,IT,Decreasing,Low,67993.95,High School,12,4111,442,1.89,66.71,Germany,24.11,2,0.7569128076279947,2
"Teacher, early years/pre",IT,Increasing,Low,71254.6,Master’s Degree,6,7759,1423,90.51,94.29,India,48.3,2,0.756808171810635,2
Interior and spatial designer,Finance,Increasing,Low,120371.93,Associate Degree,16,9902,9836,33.7,99.84,India,47.08,2,0.7565512875800501,2
Building services engineer,Entertainment,Decreasing,Moderate,119532.8,Associate Degree,3,4105,1529,27.74,83.81,USA,24.42,2,0.7565160833200504,2
Mudlogger,Finance,Decreasing,Low,90985.78,PhD,2,493,8350,85.44,90.1,Canada,26.17,2,0.7561845684656012,2
Copy,Entertainment,Increasing,Moderate,72140.63,PhD,1,9528,5411,54.03,78.92,UK,75.64,2,0.7560242903401883,2
Geophysical data processor,Entertainment,Increasing,Moderate,94996.63,Master’s Degree,7,6052,304,57.67,95.54,Canada,32.19,2,0.7559952780011823,2
Television production assistant,Retail,Decreasing,Moderate,145710.98,PhD,0,7405,1826,78.42,80.67,Australia,29.13,2,0.7558806170224761,2
Fisheries officer,Education,Increasing,Moderate,41887.92,High School,9,4748,7952,90.78,69.51,Germany,48.48,2,0.7554869892794353,2
Legal executive,Retail,Decreasing,Moderate,136390.99,High School,15,9151,9723,49.86,90.51,Brazil,38.4,2,0.7551936259676817,2
Risk analyst,Finance,Increasing,Moderate,131667.48,Associate Degree,13,556,6116,88.14,89.38,USA,31.46,2,0.754988138190234,2
Technical author,IT,Decreasing,Low,96182.22,PhD,4,2565,985,87.08,96.1,Germany,23.8,2,0.7544699176983906,2
Freight forwarder,IT,Increasing,Moderate,37955.83,Master’s Degree,18,9452,8647,44.32,95.66,Australia,75.34,2,0.7544593453717484,2
Chartered public finance accountant,Manufacturing,Decreasing,High,144852.87,Associate Degree,14,3435,6896,49.52,60.86,Canada,79.9,2,0.7541586661482939,2
Osteopath,Entertainment,Increasing,High,35008.27,Bachelor’s Degree,4,4998,1465,98.44,93.05,China,62.08,2,0.7529706942312834,2
"Therapist, drama",Finance,Decreasing,Moderate,113281.48,Master’s Degree,20,668,1157,74.93,54.75,Brazil,60.06,2,0.7520553668334142,1
Youth worker,Retail,Decreasing,High,145891.58,PhD,15,6199,9781,46.34,72.41,Canada,69.16,2,0.7519273596002172,2
Legal executive,Transportation,Decreasing,Moderate,130684.08,PhD,2,7893,7329,73.76,73.59,China,38.42,2,0.7513953312347851,2
Waste management officer,Retail,Increasing,High,32181.66,Associate Degree,8,275,8945,16.36,79.78,UK,50.16,2,0.7513408752690668,2
Consulting civil engineer,Manufacturing,Decreasing,High,53605.71,Bachelor’s Degree,6,228,2483,96.56,61.53,Canada,20.98,2,0.7511649896358736,2
Secretary/administrator,Manufacturing,Decreasing,Moderate,61005.67,Bachelor’s Degree,6,4260,627,84.51,98.17,Germany,56.35,2,0.7509192248459567,2
"Conservator, museum/gallery",Manufacturing,Increasing,High,140223.58,High School,6,4049,1795,42.33,86.26,India,54.08,2,0.7506355663132364,2
Stage manager,Healthcare,Decreasing,High,84178.75,Associate Degree,8,7600,137,87.64,95.49,USA,51.26,2,0.7505230177389871,2
Electronics engineer,Entertainment,Increasing,Low,145850.8,Bachelor’s Degree,7,841,5516,50.19,93.51,Brazil,28.4,2,0.7501672289794559,2
Recycling officer,Finance,Decreasing,Moderate,131009.9,Bachelor’s Degree,19,4001,9901,38.47,61.82,UK,56.61,2,0.750044106303414,2
Accounting technician,Healthcare,Increasing,High,81524.41,Bachelor’s Degree,5,9798,3872,99.24,90.61,UK,38.69,2,0.7497017560002469,2
Recruitment consultant,Healthcare,Increasing,Moderate,76519.05,Master’s Degree,14,7548,8483,73.97,93.74,Brazil,28.54,2,0.749551731298695,2
Volunteer coordinator,Retail,Decreasing,Low,145043.35,Bachelor’s Degree,19,8557,3674,90.04,68.85,India,55.11,2,0.7495383559867825,2
"Designer, graphic",IT,Increasing,Low,83240.41,PhD,3,117,4021,8.0,81.82,UK,24.65,2,0.749499999171373,2
Immigration officer,Manufacturing,Decreasing,Low,136370.91,High School,0,395,3615,14.21,69.11,Brazil,51.03,2,0.749354788102717,2
Consulting civil engineer,Finance,Increasing,Low,37893.4,Master’s Degree,10,8816,8683,82.79,49.33,China,32.57,2,0.7493105577810298,1
Osteopath,Finance,Increasing,Moderate,105593.7,High School,2,8971,2280,90.17,67.79,UK,30.88,2,0.7490205225777901,2
"Surveyor, building control",Healthcare,Increasing,Low,138688.68,High School,13,1758,5535,88.43,95.2,Germany,24.91,2,0.7486161929713232,2
Operational investment banker,Manufacturing,Decreasing,Low,57628.24,Master’s Degree,7,9152,1028,20.35,19.64,Brazil,39.67,2,0.7484815228990819,0
Quarry manager,IT,Increasing,Low,139694.57,Associate Degree,3,8525,9349,9.15,77.09,UK,62.26,2,0.7483782422285565,2
"Geologist, engineering",Transportation,Increasing,Low,125950.32,Bachelor’s Degree,19,5569,5573,97.53,75.33,India,23.58,2,0.7483044731799416,2
"Engineer, civil (consulting)",Transportation,Decreasing,Low,137113.29,Bachelor’s Degree,9,9903,703,1.78,77.19,Canada,43.49,2,0.7482579520917472,2
Advertising copywriter,Education,Decreasing,Moderate,65263.66,Associate Degree,19,9137,9872,46.01,91.41,China,76.67,2,0.7480770199680027,2
Electronics engineer,Entertainment,Increasing,High,30816.38,Master’s Degree,4,597,6796,8.47,67.71,Canada,22.28,2,0.7479421248055953,2
"Engineer, mining",Healthcare,Increasing,Moderate,58647.53,Associate Degree,16,2112,7127,96.61,94.97,Canada,64.44,2,0.7477666925688968,2
Photographer,Manufacturing,Increasing,High,132637.88,Associate Degree,18,8184,9900,93.57,75.19,Canada,49.75,2,0.7476588386592176,2
Immigration officer,Transportation,Increasing,High,148434.84,PhD,6,7459,6993,71.03,68.07,Canada,42.45,2,0.7475878249757515,2
"Engineer, chemical",IT,Decreasing,High,97878.98,Bachelor’s Degree,20,4463,1482,38.65,98.49,USA,76.28,2,0.7475134381225076,2
Proofreader,Manufacturing,Increasing,Low,37635.57,Bachelor’s Degree,20,4031,5641,37.8,81.72,UK,75.57,2,0.7473454760263368,2
Dancer,Transportation,Increasing,Moderate,43659.4,Bachelor’s Degree,7,8376,6725,61.82,88.94,USA,79.78,2,0.7471686492534294,2
Risk analyst,Manufacturing,Decreasing,Moderate,56557.71,Master’s Degree,14,719,9984,20.35,63.1,USA,26.4,2,0.746763359565206,2
Physiological scientist,Healthcare,Increasing,Low,106718.68,Associate Degree,2,7062,9482,0.05,65.19,Australia,79.57,2,0.7467443479280099,2
Legal executive,Healthcare,Increasing,Low,35304.59,Master’s Degree,18,5836,1949,96.38,91.84,USA,49.53,2,0.7462517306728258,2
"Journalist, newspaper",Retail,Increasing,Low,146709.87,Associate Degree,10,7788,2341,28.99,92.97,Canada,26.92,2,0.7459744232717767,2
Barrister,Healthcare,Decreasing,Low,65512.41,Associate Degree,2,1052,1268,99.29,79.82,Canada,23.12,2,0.7459150486500153,2
Counsellor,Healthcare,Decreasing,Moderate,127284.53,Associate Degree,4,1297,9551,86.9,83.77,Canada,75.91,2,0.7457528062640392,2
"Administrator, charities/voluntary organisations",Manufacturing,Decreasing,High,81860.64,PhD,18,2831,6460,56.02,81.53,Germany,20.78,2,0.7457158969012944,2
"Copywriter, advertising",Retail,Increasing,Low,149916.65,Master’s Degree,20,2062,6815,92.93,67.78,Germany,20.49,2,0.7456385436547857,2
"Loss adjuster, chartered",Finance,Decreasing,Moderate,90905.86,PhD,16,8113,2324,19.57,90.42,UK,23.22,2,0.7455502222492048,2
Recruitment consultant,Manufacturing,Decreasing,High,141803.76,Associate Degree,12,8711,7930,26.59,91.54,UK,58.79,2,0.7453911295513043,2
Chartered public finance accountant,IT,Increasing,Moderate,62093.6,High School,0,5101,2251,79.76,95.97,Germany,29.12,2,0.7452428834565147,2
Museum education officer,Transportation,Decreasing,High,147377.27,Bachelor’s Degree,9,7839,2769,42.13,85.42,USA,32.75,2,0.7452404993473818,2
Clinical molecular geneticist,IT,Increasing,High,30250.01,High School,10,258,9235,96.92,71.63,UK,75.59,2,0.745027535669456,2
Senior tax professional/tax inspector,Education,Decreasing,Moderate,141490.59,Master’s Degree,18,5660,2293,44.04,70.78,China,74.31,2,0.7448750573872225,2
"Administrator, charities/voluntary organisations",Entertainment,Increasing,High,110242.83,PhD,2,9552,3234,13.58,80.1,Germany,46.64,2,0.7448120050326715,2
Chartered public finance accountant,Retail,Decreasing,Moderate,50366.07,PhD,19,1523,9898,78.59,92.96,UK,37.56,2,0.7447158596161404,2
Petroleum engineer,Transportation,Increasing,Moderate,45182.72,Master’s Degree,19,429,1277,97.78,98.39,USA,78.63,2,0.7445409776090338,2
Operational researcher,Entertainment,Increasing,High,141410.11,Associate Degree,12,7430,9155,35.27,74.97,Canada,20.46,2,0.7442010415174717,2
Recycling officer,Retail,Decreasing,Low,73353.18,High School,20,9085,850,78.96,92.19,China,42.62,2,0.7439687554345223,2
"Programmer, applications",Transportation,Decreasing,Moderate,57896.82,Master’s Degree,7,855,9097,9.53,95.72,India,31.8,2,0.743677043934176,2
Financial planner,Manufacturing,Decreasing,Moderate,141530.14,Master’s Degree,18,8080,9107,29.36,94.45,China,66.95,2,0.743614420058498,2
Broadcast journalist,Entertainment,Decreasing,Low,131392.07,Associate Degree,6,7066,7839,90.23,75.71,UK,20.01,2,0.7435555216637343,2
"Conservator, museum/gallery",Transportation,Increasing,Low,134261.62,High School,11,5972,1099,62.85,86.58,USA,42.51,2,0.7433656438609149,2
"Designer, multimedia",Entertainment,Increasing,High,48292.19,Bachelor’s Degree,20,6663,5038,69.99,91.03,UK,30.31,2,0.743235454675089,2
Building services engineer,Entertainment,Decreasing,Moderate,96541.4,Master’s Degree,11,6727,3661,61.1,80.16,UK,74.68,2,0.7432200218294018,2
Electronics engineer,Manufacturing,Decreasing,High,107858.94,Master’s Degree,14,8068,1380,63.87,93.83,Canada,37.32,2,0.7432178179792925,2
Armed forces technical officer,Manufacturing,Increasing,High,134940.17,PhD,1,7263,9300,94.81,98.32,UK,20.89,2,0.7430761490538264,2
Science writer,Manufacturing,Decreasing,Low,132767.94,High School,5,9141,3570,60.84,58.51,UK,26.17,2,0.7427915652498206,1
"Doctor, hospital",Finance,Increasing,Moderate,98316.29,Master’s Degree,20,9979,3585,93.83,76.33,Australia,38.9,2,0.7427384447211562,2
Child psychotherapist,Manufacturing,Decreasing,Moderate,143332.49,PhD,15,5268,2010,47.46,69.33,Brazil,75.01,2,0.7425512358762963,2
Tree surgeon,Education,Decreasing,High,72915.88,PhD,14,7920,7039,62.39,64.09,Brazil,77.09,2,0.7423723522175072,2
Insurance underwriter,Entertainment,Increasing,Moderate,104974.93,Associate Degree,9,6581,2369,97.44,95.95,Canada,33.51,2,0.7423501997849029,2
Osteopath,Transportation,Increasing,Moderate,82866.76,Bachelor’s Degree,6,3676,839,81.9,77.4,Canada,39.76,2,0.7420568278485433,2
Textile designer,Entertainment,Decreasing,Low,32070.75,PhD,9,980,9544,96.46,72.0,Canada,26.51,2,0.7420078968817212,2
Diplomatic Services operational officer,Healthcare,Increasing,High,148341.13,High School,3,5648,8030,93.91,97.82,Germany,37.18,2,0.7419739784537058,2
Social researcher,Finance,Increasing,Low,60534.56,Associate Degree,15,246,1458,12.8,90.41,Canada,59.22,2,0.7418579279012468,2
Recycling officer,Finance,Increasing,Low,143172.96,High School,20,7797,2871,81.67,81.04,UK,64.49,2,0.7417437517578657,2
Pension scheme manager,Entertainment,Increasing,Moderate,37191.5,Master’s Degree,4,2488,7855,60.34,47.71,India,27.29,2,0.7414945949187502,1
"Surveyor, insurance",Transportation,Increasing,Moderate,111235.68,High School,12,220,2756,37.19,99.97,Australia,67.98,2,0.7414886948990309,2
"Designer, textile",Entertainment,Increasing,Low,48983.18,High School,12,228,2314,50.45,94.33,Australia,59.29,2,0.7413654537494413,2
Call centre manager,Entertainment,Decreasing,Low,32161.17,Master’s Degree,18,1571,2483,90.19,86.5,China,62.18,2,0.7412536522320492,2
Medical sales representative,Manufacturing,Increasing,Moderate,145598.32,High School,10,7601,8158,35.87,72.04,Canada,60.0,2,0.7412474958585156,2
"Chemist, analytical",Entertainment,Decreasing,High,91429.97,Bachelor’s Degree,11,6806,9679,2.31,91.65,Australia,75.81,2,0.7410490062401905,2
Pension scheme manager,Healthcare,Decreasing,Low,110456.81,PhD,17,1688,4409,39.09,86.29,China,78.38,2,0.7410448948735893,2
Aeronautical engineer,Education,Increasing,High,31026.06,Associate Degree,8,3947,122,2.15,69.18,Germany,42.99,2,0.7410231187462175,2
Land/geomatics surveyor,Finance,Increasing,Low,108483.36,High School,20,4372,530,44.08,91.53,India,76.98,2,0.7409249663481268,2
Animator,Retail,Decreasing,Moderate,102277.18,PhD,0,5947,447,67.79,78.49,China,78.26,2,0.7407717356569592,2
Financial manager,IT,Decreasing,Moderate,56699.25,PhD,3,2739,276,43.36,86.6,Brazil,20.52,2,0.7406101212484933,2
Clinical research associate,Manufacturing,Decreasing,High,85809.81,PhD,20,5795,2056,83.7,97.14,Australia,77.26,2,0.740357577270676,2
Claims inspector/assessor,Entertainment,Increasing,Moderate,146497.39,Master’s Degree,11,7580,1762,89.38,64.48,China,26.4,2,0.7399264630384949,2
Tree surgeon,IT,Increasing,Low,81494.33,Bachelor’s Degree,3,7365,4877,93.3,76.47,UK,23.52,2,0.7397160813641357,2
"Nurse, mental health",Education,Increasing,High,36506.26,Associate Degree,11,9501,9974,64.26,97.89,Germany,32.5,2,0.7393173482008588,2
Adult nurse,Education,Decreasing,Moderate,119195.08,PhD,12,2226,9922,64.28,74.48,Canada,61.79,2,0.7391047689073849,2
Print production planner,Entertainment,Increasing,Low,42817.59,Associate Degree,20,405,6559,98.67,79.56,Australia,24.51,2,0.7390688766885125,2
Soil scientist,IT,Decreasing,High,118495.93,PhD,2,7956,361,44.83,71.19,Canada,59.2,2,0.739022328829707,2
"Administrator, charities/voluntary organisations",Finance,Increasing,Low,55669.34,Associate Degree,3,286,8072,39.71,93.88,Australia,24.48,2,0.738598709135873,2
Marine scientist,IT,Decreasing,High,146554.81,High School,7,8687,1232,86.88,88.87,Brazil,30.21,2,0.7385168889726328,2
Adult guidance worker,Entertainment,Increasing,High,39580.76,Master’s Degree,5,6137,774,58.32,81.64,Canada,26.38,2,0.7383993292839964,2
Immigration officer,Education,Increasing,High,110572.69,PhD,19,9837,9163,12.27,84.95,Germany,54.57,2,0.7381289274940651,2
IT trainer,IT,Decreasing,Moderate,147205.71,Master’s Degree,12,1852,2740,86.62,96.65,Australia,76.78,2,0.7380719851280114,2
Immunologist,IT,Decreasing,Low,148115.7,PhD,2,7341,8522,33.47,71.87,India,20.75,2,0.7378295798686669,2
Building services engineer,Retail,Decreasing,Low,111416.82,Master’s Degree,8,9708,270,43.47,61.18,Brazil,72.35,2,0.7377890426207162,2
"Copywriter, advertising",Entertainment,Decreasing,High,82466.47,PhD,20,5754,9902,87.56,78.76,India,51.97,2,0.7376201578700923,2
Field seismologist,Healthcare,Increasing,Moderate,38499.85,Associate Degree,14,814,8722,2.85,78.33,UK,65.76,2,0.7374625780094387,2
"Designer, multimedia",Education,Increasing,Moderate,143311.64,Associate Degree,14,9449,7514,57.24,91.12,Australia,23.37,2,0.7374416992384402,2
"Administrator, charities/voluntary organisations",Education,Increasing,High,127656.54,Master’s Degree,5,9674,5515,25.0,67.59,China,36.42,2,0.737434375491334,2
Energy manager,Transportation,Increasing,High,140000.43,Associate Degree,18,1443,7792,64.11,66.26,India,25.43,2,0.7372958349089652,2
Osteopath,Entertainment,Increasing,High,73228.67,Associate Degree,13,5083,2643,52.73,93.14,Germany,54.81,2,0.7369618034548232,2
Secretary/administrator,Retail,Decreasing,High,102960.71,Associate Degree,3,6484,4547,97.5,83.31,USA,54.58,2,0.7368430009913252,2
Community education officer,Manufacturing,Decreasing,High,108778.22,PhD,19,9406,9854,23.62,79.92,UK,73.0,2,0.7368063442701143,2
